nextday_High,tw_Open,tw_High,tw_Low,tw_Close,tw_Adj_Close,RDSCUNT_RATE,RATE_YEAR,RATE,BOND_RATE,PRP_M,PRP_M_P,M1A,M1B,M2,PUR_A,ASSETS,LIABILITIES
8886.070313,8701.969727,8796.219727,8648.759766,8782.089844,8782.057617,5.25,6.52,7.955,6.7,17360,6288,17034,38484,154866,29602,34303,4701
9014.320313,8868.679688,8886.070313,8815.530273,8837.339844,8837.307617,5.25,6.52,7.955,6.7,17360,6288,17034,38484,154866,29602,34303,4701
9095.370117,8958.339844,9014.320313,8942.719727,8978.509766,8978.476563,5.25,6.52,7.955,6.7,17360,6288,17034,38484,154866,29602,34303,4701
9176.240234,9095.370117,9095.370117,9021.849609,9037.480469,9037.447266,5.25,6.52,7.955,6.7,17360,6288,17034,38484,154866,29602,34303,4701
9324.540039,9126.5,9176.240234,9074.620117,9147,9146.96582,5.25,6.52,7.955,6.7,17360,6288,17034,38484,154866,29602,34303,4701
9131.419922,9324.540039,9324.540039,9032.790039,9066.459961,9066.425781,5.25,6.52,7.955,6.7,17360,6288,17034,38484,154866,29602,34303,4701
9229.19043,9111.870117,9131.419922,9010.759766,9027.099609,9027.066406,5.25,6.52,7.955,6.7,17360,6288,17034,38484,154866,29602,34303,4701
9378.519531,9144.259766,9229.19043,9126.55957,9229.19043,9229.15625,5.25,6.52,7.955,6.7,17360,6288,17034,38484,154866,29602,34303,4701
9314.740234,9363.389648,9378.519531,9194.509766,9202.55957,9202.525391,5.25,6.52,7.955,6.7,17360,6288,17034,38484,154866,29602,34303,4701
9307.019531,9272.790039,9314.740234,9243.650391,9277.089844,9277.055664,5.25,6.52,7.955,6.54,16695,5528,16325,37570,154394,30081,35118,5037
9260.919922,9307.019531,9307.019531,9120.330078,9211.830078,9211.795898,5.25,6.52,7.955,6.54,16695,5528,16325,37570,154394,30081,35118,5037
8995.919922,9202.820313,9260.919922,8967.980469,8977.540039,8977.506836,5.25,6.52,7.955,6.54,16695,5528,16325,37570,154394,30081,35118,5037
8853.55957,8995.919922,8995.919922,8748.910156,8765.320313,8765.288086,5.25,6.52,7.955,6.54,16695,5528,16325,37570,154394,30081,35118,5037
8910.780273,8630.049805,8853.55957,8630.049805,8847.650391,8847.618164,5.25,6.52,7.955,6.54,16695,5528,16325,37570,154394,30081,35118,5037
8976.150391,8860.219727,8910.780273,8812.94043,8887.360352,8887.327148,5.25,6.52,7.955,6.54,16695,5528,16325,37570,154394,30081,35118,5037
9030.549805,8971.509766,8976.150391,8869.55957,8897.269531,8897.236328,5.25,6.52,7.955,6.54,16695,5528,16325,37570,154394,30081,35118,5037
9137.089844,8991.709961,9030.549805,8969.55957,9030.549805,9030.516602,5.25,6.52,7.955,6.54,16695,5528,16325,37570,154394,30081,35118,5037
9109.389648,9113.150391,9137.089844,9049.05957,9056.370117,9056.335938,5.25,6.52,7.955,6.54,16695,5528,16325,37570,154394,30081,35118,5037
9107.549805,9096.740234,9109.389648,9006.120117,9055.509766,9055.475586,5.25,6.52,7.955,6.54,16695,5528,16325,37570,154394,30081,35118,5037
9165.120117,9088.5,9107.549805,9049.660156,9065.299805,9065.265625,5.25,6.52,7.955,6.54,16695,5528,16325,37570,154394,30081,35118,5037
9069.769531,9161.179688,9165.120117,9037.290039,9045.549805,9045.516602,5.25,6.52,7.955,6.54,16695,5528,16325,37570,154394,30081,35118,5037
8994.049805,9045.360352,9069.769531,8948.299805,8952.660156,8952.626953,5.25,6.52,7.955,6.54,16695,5528,16325,37570,154394,30081,35118,5037
8911.759766,8994.049805,8994.049805,8837.290039,8859.410156,8859.37793,5.25,6.52,7.955,6.54,16695,5528,16325,37570,154394,30081,35118,5037
8853.830078,8911.759766,8911.759766,8823.269531,8904.230469,8904.197266,5.25,6.52,7.955,6.54,16695,5528,16325,37570,154394,30081,35118,5037
8815.55957,8843.769531,8853.830078,8738,8757.589844,8757.557617,5.25,6.52,7.955,6.54,16695,5528,16325,37570,154394,30081,35118,5037
9040.75,8792.219727,8815.55957,8751.849609,8806.849609,8806.817383,5.25,6.52,7.955,6.54,16695,5528,16325,37570,154394,30081,35118,5037
9130.5,8904.5,9040.75,8902.610352,9040.75,9040.716797,5.25,6.52,7.955,6.54,16695,5528,16325,37570,154394,30081,35118,5037
9139.669922,9120.230469,9130.5,9008.200195,9014.169922,9014.136719,5.25,6.52,7.955,6.54,16695,5528,16325,37570,154394,30081,35118,5037
9154.549805,9091.75,9139.669922,9070.870117,9095.830078,9095.795898,5.25,6.52,7.955,6.54,16695,5528,16325,37570,154394,30081,35118,5037
