grm_Adj Close,cnd_Open,cnd_Adj_Close,mxc_Open,mxc_Adj_Close,agt_Open,agt_Adj_Close,chl_Adj_Close,chl_Open,bx_Open
5507.36,7517.300,7579.600,4486.700,4468.220,602.77,609.56,909.03,914.64,9748
5556.99,7624.800,7589.800,4469.400,4530.010,609.58,602.01,910.27,909.12,10152
5570.41,7558.900,7512.600,4527.370,4413.520,599.12,589.42,899.69,910.36,9750
5583.83,7551.600,7534.000,4414.290,4480.010,589.78,600.68,891.7,899.78,9609
5640.42,7543.500,7493.200,4480.190,4455.240,600.52,598.31,902.73,891.79,10150
5605.38,7485.900,7485.400,4455.850,4592.010,598.31,604.42,906.44,902.82,9856
5724.75,7501.600,7508.200,4591.840,4601.260,606.16,615.22,914.21,906.53,10191
5787.05,7516.300,7557.200,4602.080,4598.090,614.78,597.21,915.67,914.53,10370
5773.77,7567.100,7535.400,4597.820,4559.450,605.61,585.625,934.24,914.98,10540
5799.22,7507.100,7433.800,4559.300,4396.800,596.44,574.04,913.53,933.77,10369
5715.28,7422.800,7295.800,4396.590,4289.310,574.34,560.78,902.275,923.7,10116
5631.34,7269.400,7310.900,4289.480,4215.680,560.63,566.59,891.02,913.63,9863
5581.24,7196.600,7104.500,4186.250,4048.990,563.57,552.475,860.08,891.12,9582
5621.71,7131.700,7143.700,4049.950,4125.970,566.51,538.36,848.94,860.17,9077
5742.83,7197.500,7195.100,4126.070,4340.980,538.79,571.23,864.47,849.03,9416
5689.89,7187.700,7138.300,4341.300,4268.730,571,561.73,858.05,864.78,9897
5644.22,7183.300,7153.400,4268.460,4353.740,563.05,561.61,856.48,858.14,9539
5648.11,7141.200,7137.500,4353.060,4320.360,561.51,554.05,846.12,857.92,9687
5748.34,7168.600,7175.200,4323.140,4387.860,554.77,562.59,850.63,846.21,9622
5784.4,7190.400,7264.400,4387.170,4378.260,562.89,555.5,849.16,850.71,9937
5886.72,7299.100,7314.700,4380.340,4233.920,555.35,543.09,836.78,849.25,9856
5870.49,7321.300,7338.700,4233.370,4157.810,542.88,540.56,850.63,841.6,9528
5933.73,7384.700,7409.400,4159.430,4184.560,540.99,547.79,855.75,846.155,9464
5841.83,7408.600,7366.900,4185.780,4282.620,547.95,550.44,860.87,850.71,9604
5905.15,7380.600,7370.600,4421.730,4431.800,572.5,579.04,852.76,864.67,9915
5961.45,7370.600,7383.700,4430.400,4483.750,579.04,585.43,845.67,852.85,9901
5942.06,7373.600,7434.500,4481.580,4411.880,579.04,585.43,844.66,845.76,10116
5975.88,7445.100,7454.600,4405.360,4510.610,614.77,616.71,840.27,844.75,10018
6018.89,7460.500,7451.300,4510.970,4573.280,614.77,616.71,855.69,840.36,10205
6000.84,7449.700,7413.200,4573.410,4532.590,615.41,614.755,861.88,855.78,10270.5
6001.24,7407.000,7389.700,4532.440,4566.880,616.05,612.8,860.42,861.97,10336
6023.31,7382.900,7348.900,4567.180,4625.380,612.33,623.64,866.49,861.07,10353
6101.9,7371.700,7387.100,4630.790,4665.790,623.81,623.04,882.58,866.58,10420
6106.1,7413.400,7388.100,4670.140,4593.780,622.96,621.7,895.86,882.9,10642
6108,7391.600,7405.800,4594.380,4655.420,621.67,616.91,911.05,895.96,10691
6162.86,7423.200,7418.300,4656.420,4674.530,616.26,628.59,943.35,911.15,10908
6186.09,7441.300,7432.700,4678.880,4602.690,628.73,633.29,942.23,943.67,11057
6184.1,7448.100,7409.400,4602.410,4552.740,633.51,617.58,927.93,942.32,11041
6081.11,7393.600,7349.900,4552.230,4564.750,617.47,615.75,914.32,927.81,10923
6043.82,7331.900,7227.400,4565.690,4484.500,615.64,603.88,910.15,914.41,10912
6040.58,7281.200,7170.600,4484.760,4495.100,604.76,609.24,912.86,910.25,10640
5854.35,7133.900,7140.600,4484.220,4473.040,608.38,605.74,911.62,913.06,10575
5867.52,7132.400,7067.800,4474.710,4343.980,605.87,598.3,904.87,911.71,10564
5828.74,7092.600,7000.100,4344.150,4340.340,598.75,596.72,898,905.52,10319
5906.33,7037.000,7046.000,4335.990,4351.370,596.72,601.43,892.94,898.09,10543
5861.19,7051.400,6931.400,4351.160,4244.960,601.22,588.79,902.61,893.03,10939
5774.38,6931.400,6931.400,4244.190,4174.340,588.66,576.06,900.48,902.03,10705
5718.7,6910.000,6704.300,4176.140,4071.950,575.31,552.26,889.79,900.57,10413
5614.77,6647.300,6731.000,4072.670,4055.320,552.53,552.57,886.07,889.2,9860
5528.12,6719.300,6675.800,4047.040,3981.730,554.41,551.22,882.13,886.16,9780
5598.32,6606.800,6641.100,3981.630,3844.930,551.51,532.93,875.27,882.23,9690
5460.43,6613.200,6523.700,3829.770,3731.490,531.85,511.97,864.8,875.36,9319
5285.78,6346.500,6312.900,3729.900,3628.450,510.64,489.66,838.02,864.78,9174
5386.94,6414.100,6495.400,3629.170,3561.500,489.77,485.23,832.4,838.11,8802
5355.03,6510.300,6345.200,3560.680,3580.550,485.53,480.74,827.56,835.3,8417
5473.72,6419.300,6297.500,3581.810,3583.720,480.82,483.53,825.19,830.46,8711
5432.03,6268.500,6404.500,3575.450,3533.140,481.655,477.425,808.76,821.56,8744
5602.15,6460.100,6517.700,3533.860,3648.840,482.49,471.32,802.46,808.85,8610
5601.93,6565.300,6511.800,3650.280,3604.360,471.46,470.74,792.11,802.55,8643
5486.76,6491.800,6421.000,3603.950,3498.810,470.65,441.83,761.05,792.3,8542
5190.6,6325.200,6294.300,3495.550,3413.150,441.51,407.22,740.46,762.03,7800
5253.38,6315.200,6248.900,3410.540,3413.010,407.79,409.07,726.73,740.87,7764
5407.03,6318.300,6256.000,3413.550,3368.790,409.88,415.19,733.03,728.72,7655
5247.62,6185.500,6172.300,3368.170,3254.440,414.89,404.01,704,737.27,7645
5012.73,5967.700,5799.500,3250.470,3055.710,400.71,361.05,660.22,705.2,7339
4925.8,5840.600,5766.300,3054.990,3154.140,361.53,364.56,661.35,660.29,6617
4811.28,5815.500,5530.700,3147.170,2991.930,365.04,358.49,633.1,661.42,6746
4855.9,5566.400,5538.100,3070.550,3085.245,359.4,390.01,662.14,633.06,6472
4948.51,5588.800,5682.500,2993.930,3178.560,390.26,390.4,648.18,662.2,6917
