ind_Adj_Close,astsp_Open,astsp_Adj_Close,ast_Open,ast_Adj_Close,usdow_Open,usdow_Adj_Close,usnsdq_Open,usnsdq_Adj_Close,usvix_Open
4050.98,2803.9,2803.9,2877.8,2854.9,9143.83,9064.62,1878.57,1868.96,20.28
4082.83,2765.9,2765.9,2854.9,2818,9058.14,8917.64,1868.96,1820.31,24.95
4082.83,2727.3,2727.3,2818,2781.3,8920.88,8898.96,1842.49,1831.77,24.04
3970.28,2695.8,2695.8,2781.3,2749.1,8899.21,8951.52,1837.17,1851.64,23.36
4006.81,2709,2709,2749.1,2762.1,8953.51,9063.37,1868.12,1868.41,21.16
4135.81,2754.8,2754.8,2804.2,2812.3,9145.33,9192.66,1880.12,1878.86,19.57
4147.29,2745.2,2745.2,2812.3,2803.5,9192.66,9147.57,1876.26,1864.91,20.94
4069.79,2730.7,2730.7,2803.5,2788,9146.19,9054.65,1872.59,1856.68,21.9
4045.995,2724.6,2724.6,2788,2780.8,9053.16,8976.68,1858.41,1835.14,23.65
4022.2,2723.6,2723.6,2780.8,2780.5,8978.17,9055.15,1832.17,1864.37,20.94
3983.665,2740.8,2740.8,2780.5,2797.6,9055.51,9091.52,1870.01,1848.07,20.08
3945.13,2729.8,2729.8,2772.3,2786.9,9089.53,9161.77,1847.44,1860.16,21.23
3782.76,2717.2,2717.2,2786.9,2773.7,9158.62,9211.84,1869.85,1866.18,20.29
3897.94,2701.8,2701.8,2773.7,2759.4,9211.34,9172.23,1857.77,1865.36,19.9
3849.8,2706.4,2706.4,2759.4,2765.8,9170.34,9096,1869.36,1846.77,19.61
3908.48,2671.3,2671.3,2765.8,2733.3,9092.97,9050.91,1838.53,1831.62,20.84
3924.42,2681.5,2681.5,2733.3,2742,9052.16,9054.65,1840.62,1845.87,20.74
3956.93,2661.5,2661.5,2742,2723.2,9053.76,9171.48,1850.16,1831.75,19.66
3908.79,2673.7,2673.7,2723.2,2733.5,9171.73,9132.37,1834.49,1820.99,19.7
3897.1,2664.1,2664.1,2733.5,2725.9,9132.37,9114.44,1810.82,1805,18.66
3908.11,2668.8,2668.8,2725.9,2727.8,9123.405,9039.085,1812.175,1791.545,19.16
3875.06,2673.4,2673.4,2727.8,2734.7,9114.44,8963.73,1813.53,1778.09,19.66
3777.19,2625.6,2625.6,2734.7,2687,8963.81,8936.57,1759.63,1781.1,24.33
3721.93,2654.5,2654.5,2687,2714.6,8933.47,8970.2,1782.75,1794.62,21.79
3686.39,2655.3,2655.3,2714.6,2715.7,8970.2,8899.95,1800.33,1778.87,19.93
3642.68,2631.5,2631.5,2715.7,2689.1,8900.95,8922.37,1770.37,1746.82,22.71
3573.21,2613.9,2613.9,2689.1,2671.1,8922.87,8891.24,1757.92,1761.79,22.22
3597.98,2604.6,2604.6,2671.1,2662,8889.44,8803.8,1771.19,1742.31,21.1
3546.21,2600.8,2600.8,2662,2658.4,8804.3,8870.56,1753.33,1769.95,22.82
3417.89,2584.9,2584.9,2658.4,2642.8,8870.56,9037.71,1772.9,1782.92,20.48
3416.73,2576.05,2576.05,2650.6,2633.35,9039.95,9069.6,1783.47,1787.77,19.02
3468.07,2567.2,2567.2,2642.8,2623.9,9070.59,9049.92,1787.66,1800.76,20.45
3311.41,2537.1,2537.1,2623.9,2592.9,9050.17,8971.7,1791.25,1773.25,21.26
3335.76,2501.3,2501.3,2592.9,2558.7,8971.7,8811.77,1776.61,1749.75,21.87
