bx_Adj_Close,Isrl_Open,Isrl_Adj_Close,tw_VALUE,jp_VALUE ,chn_VALUE,chnhk_VALUE,bx_VALUE,cnd_VALUE,ind_VALUE
10908,310.98,310.41,34.37,140.25,8.31,7.7488,1.1623,1.489,42.75
11057,312.395,311.71,34.28,139.6,8.31,7.749,1.1612,1.4885,42.55
11041,313.81,313.01,34.32,138.85,8.31,7.7486,1.1602,1.488,42.55
10923,313.01,318.08,34.32,140.39,8.31,7.7476,1.1606,1.4923,42.49
10912,318.08,318.28,34.37,141.1,8.31,7.746,1.1635,1.4957,42.47
10640,318.28,319.86,34.4,141.54,8.31,7.7485,1.1648,1.4953,42.55
10575,320.3,320.585,34.4,140.93,8.31,7.7485,1.1654,1.4979,42.632
10564,322.32,321.31,34.43,142.24,8.31,7.7475,1.166,1.504,42.6
10318,321.31,321.64,34.38,141.75,8.31,7.745,1.1632,1.5023,42.65
10542,320.62,320.25,34.34,142.46,8.31,7.7475,1.1626,1.5039,42.55
10939,319.86,318.63,34.34,142.51,8.31,7.7472,1.162,1.5085,42.62
10707,318.445,315.99,34.39,144.65,8.31,7.749,1.1632,1.5112,42.6
10413,317.03,313.35,34.45,145.8,8.31,7.7492,1.1651,1.5155,42.6
9860,312.88,312.64,34.45,144.84,8.31,7.7495,1.1662,1.514,42.57
9828,307.23,306.26,34.5,144.38,8.31,7.75,1.1663,1.5155,42.6
9690,306.26,310.74,34.51,144.6,8.31,7.7495,1.1673,1.5282,42.56
9319,317.535,320.06,34.65,146.3,8.31,7.749,1.168,1.5219,42.7
9182,328.81,329.38,34.8,146.54,8.31,7.749,1.1695,1.5177,42.75
8802,326.88,320.41,34.9,147.14,8.31,7.7495,1.1687,1.5213,43
8417,320.6,323.23,34.85,146.09,8.31,7.7525,1.1707,1.5152,43.05
8711,321.4,317.21,34.79,145.05,8.31,7.75,1.1715,1.517,43.05
8744,318.79,316.395,34.71,146.37,8.31,7.75,1.1717,1.5186,43.23
8610,316.18,315.58,34.77,145.78,8.31,7.75,1.173,1.5243,43.28
8643,316.99,319.89,34.74,145.02,8.31,7.749,1.174,1.5285,43.4
8542,319.89,319.53,34.85,143.85,8.31,7.7468,1.174,1.5335,43.6
7992,319.53,318.98,34.6,142.6,8.31,7.7495,1.1737,1.5305,42.9
7764,314.74,313.69,34.7,144.94,8.31,7.7503,1.175,1.542,42.7
7655,309.95,308.4,34.85,143.96,8.31,7.748,1.1747,1.5493,42.6
7648,309.13,309.44,34.85,144.94,8.31,7.7465,1.1728,1.5507,42.56
7348,308.58,302.31,34.84,144.43,8.31,7.7485,1.173,1.563,42.55
6617,299.69,293.08,34.8,142.2,8.31,7.7505,1.1765,1.577,42.65
6746,295.69,293.345,34.85,142.55,8.31,7.75,1.1763,1.5692,42.7
6472,291.69,293.61,34.88,140.9,8.31,7.7497,1.177,1.5745,42.65
6917,289.52,288.13,34.81,136.23,8.31,7.7455,1.177,1.5535,42.65
6805,288.13,287,34.78,137.76,8.31,7.75,1.177,1.5385,42.58
6219,285.51,283.02,34.82,134.82,8.31,7.7495,1.1783,1.5395,42.6
5837,287.44,287.795,34.75,133.99,8.31,7.739,1.178,1.5265,42.655
5827.5,289.37,292.57,34.66,133.045,8.31,7.74425,1.17735,1.5264,42.6275
5818,292.81,296.76,34.57,132.1,8.31,7.7495,1.1767,1.5263,42.6
5655,296.76,294.06,34.69,136.45,8.31,7.75,1.1762,1.521,42.6
4761,290.31,287.77,34.61,134.32,8.31,7.75,1.179,1.5145,42.6
5398,291.235,291.775,34.52,131.05,8.31,7.7502,1.179,1.513,42.57
5818,292.16,295.78,34.61,133.22,8.31,7.746,1.1799,1.5164,42.6
6905,295.78,292.6,34.61,133.05,8.31,7.7473,1.1793,1.502,42.55
6760,292.6,294.06,34.61,134.92,8.31,7.7479,1.18,1.5038,42.55
6432,291.69,287.98,34.55,131.88,8.31,7.7475,1.1788,1.5255,42.55
6710,289.835,287.98,34.53,132.63,8.31,7.7475,1.181,1.5295,42.585
6450,287.98,287.98,34.69,133.4,8.31,7.748,1.1815,1.5267,42.55
6560,287.98,287.98,34.63,135.2,8.31,7.7487,1.1836,1.5295,42.6
7280,287.98,289.1,34.71,136.45,8.31,7.7488,1.1835,1.528,42.63
6844,289.1,285.27,34.61,135.33,8.31,7.7485,1.1835,1.512,42.55
6712,283.66,283.02,34.62,135.1,8.31,7.7478,1.1844,1.5128,42.55
6827,278.22,280.77,34.61,135.7,8.2783,7.7485,1.1845,1.5106,42.56
6869,280.77,280.77,34.54,133.9,8.2782,7.7487,1.1847,1.5012,42.55
6593,280.77,280.77,34.7,136.59,8.278,7.7492,1.1855,1.5262,42.48
5960,274.42,270.52,34.37,135.75,8.278,7.7484,1.184,1.5364,42.5
6410,269.18,266.865,34.05,135.6,8.278,7.7492,1.1838,1.5505,42.45
6336,263.94,263.21,33.54,131.15,8.2779,7.7486,1.1852,1.552,42.45
6157,260.52,258.83,33.4,123.97,8.2778,7.747,1.187,1.5288,42.4
6175,251.84,249.19,33,118.85,8.2777,7.7479,1.1847,1.5435,42.4
6528,250.515,249.19,32.95,117,8.2777,7.748,1.1868,1.546,42.4
6573,249.19,249.19,33.055,117.925,8.27765,7.7475,1.18715,1.54725,42.4
6618,255.36,259.48,33.16,118.85,8.2776,7.747,1.1875,1.5485,42.4
6445,259.48,259.54,33.3,119.27,8.2777,7.7465,1.1885,1.5465,42.35
6874,262.05,265.06,33.05,117.5,8.2778,7.7475,1.1883,1.5463,42.33
6844,267.75,267.51,32.99,114.46,8.2778,7.748,1.19,1.549,42.35
6973,267.72,271.96,33,118.09,8.2779,7.749,1.1889,1.539,42.34
7350,271.96,270.37,33,116.85,8.2778,7.749,1.19,1.555,42.34
7603,270.37,272.32,32.92,117.88,8.2782,7.7493,1.1901,1.5433,42.32
7272,273.325,274.33,32.96,118.06,8.2778,7.7505,1.191,1.5445,42.35
6972,276.28,276.34,33,118.84,8.2777,7.7498,1.191,1.545,42.4
6869,276.34,280.27,32.7,118.6,8.2776,7.75,1.2,1.5395,42.4
6827,280.27,279.99,32.55,117.56,8.2778,7.7495,1.192,1.542,42.35
6538,279.99,280.3,32.58,117.3,8.2776,7.7483,1.1918,1.5497,42.45
7047,280.81,280.11,32.48,116.45,8.2778,7.7455,1.1919,1.5432,42.45
