PUR_A,ASSETS,LIABILITIES
45882,49996,4114
45882,49996,4114
45882,49996,4114
45882,49996,4114
45882,49996,4114
45882,49996,4114
45882,49996,4114
45882,49996,4114
45882,49996,4114
45882,49996,4114
45882,49996,4114
45882,49996,4114
45882,49996,4114
45882,49996,4114
45882,49996,4114
45882,49996,4114
45882,49996,4114
45882,49996,4114
45882,49996,4114
45882,49996,4114
45882,49996,4114
46355,50608,4253
46355,50608,4253
46355,50608,4253
46355,50608,4253
46355,50608,4253
46355,50608,4253
46355,50608,4253
46355,50608,4253
46355,50608,4253
46355,50608,4253
46355,50608,4253
46355,50608,4253
46355,50608,4253
46355,50608,4253
46355,50608,4253
46355,50608,4253
46355,50608,4253
46355,50608,4253
46355,50608,4253
46355,50608,4253
48486,52682,4196
48486,52682,4196
48486,52682,4196
48486,52682,4196
48486,52682,4196
48486,52682,4196
48486,52682,4196
48486,52682,4196
48486,52682,4196
48486,52682,4196
48486,52682,4196
48486,52682,4196
48486,52682,4196
48486,52682,4196
48486,52682,4196
48486,52682,4196
48486,52682,4196
48486,52682,4196
48486,52682,4196
48486,52682,4196
48486,52682,4196
48486,52682,4196
49324,53515,4191
49324,53515,4191
49324,53515,4191
49324,53515,4191
49324,53515,4191
49324,53515,4191
49324,53515,4191
49324,53515,4191
49324,53515,4191
49324,53515,4191
49324,53515,4191
49324,53515,4191
49324,53515,4191
49324,53515,4191
49324,53515,4191
49324,53515,4191
49324,53515,4191
49324,53515,4191
49324,53515,4191
49324,53515,4191
50394,55200,4806
50394,55200,4806
50394,55200,4806
50394,55200,4806
50394,55200,4806
50394,55200,4806
50394,55200,4806
50394,55200,4806
50394,55200,4806
50394,55200,4806
50394,55200,4806
50394,55200,4806
50394,55200,4806
50394,55200,4806
50394,55200,4806
50394,55200,4806
50394,55200,4806
50394,55200,4806
50394,55200,4806
50394,55200,4806
50394,55200,4806
51337,56656,5319
51337,56656,5319
51337,56656,5319
51337,56656,5319
51337,56656,5319
51337,56656,5319
51337,56656,5319
51337,56656,5319
51337,56656,5319
51337,56656,5319
